#{"t_start": 1774194196.1778681, "env_id": null}
r,l,t
1091.6981,262,135.829247
982.777,250,136.271373
888.36344,221,136.681326
1143.114749,262,137.141238
951.4544,249,137.594171
1116.165861,257,138.089444
1078.79641,264,138.555054
977.819,236,138.976424
1014.953,244,139.409806
1006.132143,250,139.867171
959.936102,258,140.348408
984.68775,249,140.813224
1095.635348,263,141.279827
1017.302665,250,141.765933
1044.795,251,142.219732
1100.06078,250,142.694585
1013.389356,243,143.137108
1141.522138,259,143.631491
1069.96608,259,144.134573
969.512,250,144.599296
1023.947136,247,145.055141
1072.650414,250,145.506232
1059.48778,256,145.990064
1023.1846,240,146.435253
1009.730988,250,146.873236
1168.82947,279,147.367932
1020.259695,250,147.811728
1092.792374,259,148.279529
1058.5711,245,148.736748
1161.548748,265,149.234179
989.07008,249,149.701303
1094.22014,250,150.189703
996.3528,251,150.692145
1069.941338,254,151.247813
877.348,230,151.718997
1165.249957,250,152.291045
1109.0951,256,152.794381
1042.228,248,153.316594
1052.61624,250,153.804975
971.906843,250,154.293401
1087.4759,250,154.772162
1153.725406,277,155.361867
1034.03293,259,155.99714
1094.7864,250,156.633365
1038.80752,249,157.11466
1065.97192,250,157.610024
985.79856,240,158.087321
1162.353533,264,158.626082
936.76,234,159.095867
979.07135,250,159.582302
899.2,226,160.028433
1105.3104,250,160.532402
984.7306,250,161.035962
1052.1412,248,161.562296
1106.54682,250,162.087228
851.412,218,162.538852
991.17057,240,162.997229
1045.866,250,163.464522
903.63,227,163.911077
1069.122448,250,164.440165
928.64929,227,164.933278
1073.974984,255,165.462359
883.58,222,165.914427
1122.43984,263,166.449995
997.0555,250,166.962619
989.136,244,167.443549
1017.834386,248,167.977675
1165.298746,262,168.563537
1066.1412,246,169.082058
1091.660095,250,169.610105
998.37641,250,170.134069
977.732,250,170.643938
889.566508,223,171.099967
1055.3788,250,171.630985
1009.21,233,172.111063
992.636687,250,172.633704
1058.1331,250,173.158551
1186.51092,269,173.704337
985.0298,250,174.216868
1115.78784,268,174.766097
1042.0462,240,175.262387
1062.75343,250,175.753442
999.7046,239,176.264964
957.5892,241,176.778504
1026.823,247,177.292423
885.016,226,177.759771
967.265,236,178.252045
1049.107,250,178.759323
1068.69706,250,179.257024
971.844,231,179.726279
989.487,236,180.205942
1084.408,243,180.695131
1023.5698,236,181.168139
1011.126,244,181.655957
1073.8978,250,182.154404
999.6093,235,182.63613
1066.8733,245,183.122209
1009.98,238,183.681288
918.8043,233,184.183061
1201.182703,266,184.832383
1065.850608,250,185.323289
951.57,222,185.773154
971.5878,234,186.440121
947.859,233,186.908572
1056.329,241,187.384638
1103.446365,250,187.89237
1062.012,250,188.399332
870.3566,217,188.842085
875.379,209,189.266218
964.43546,233,189.724069
943.05491,224,190.190186
1035.3782,248,190.702411
962.91737,234,191.169523
958.627056,225,191.628388
924.173816,226,192.115076
1096.6048,250,192.633886
995.012,244,193.129284
982.9662,234,193.621215
961.915183,231,194.080576
845.357,216,194.529333
965.033,237,195.035277
829.58494,202,195.469657
897.173,216,195.929296
948.6112,237,196.424647
1045.183087,250,196.945178
1063.73306,245,197.436476
826.87,214,197.892665
1149.421638,253,198.414344
898.1755,215,198.862401
985.844898,241,199.353182
949.4315,228,199.828606
1018.4282,238,200.314122
910.039,216,200.760295
1050.5474,243,201.251505
1040.48746,249,201.842394
916.17942,228,202.953382
934.48,224,204.378924
924.4477,227,205.849203
941.4526,226,207.262443
994.0,241,208.737996
951.929472,227,209.911009
821.124,200,210.964518
914.748,221,212.128494
940.58352,223,213.286793
967.122872,225,214.46964
1004.5246,218,215.878905
1015.6084,231,219.215909
940.7114,225,221.053954
1001.77604,235,222.182423
931.94,218,223.385872
1034.5675,243,224.57511
899.513,217,225.667018
794.56,201,226.693375
1024.1536,243,227.913134
847.289,200,228.932619
952.416,225,230.19042
889.7483,218,231.306952
1064.4266,240,232.453229
795.872,205,233.485179
997.8013,227,234.594002
870.046,210,235.751081
942.818,224,237.121221
843.1687,216,238.157524
940.26,218,239.234782
819.602,200,240.462116
967.348312,232,241.889938
896.48469,220,243.156632
877.244,212,244.232219
974.9396,229,245.427521
837.322,200,247.101029
894.07,222,249.217982
1018.014,238,250.596575
914.6588,231,251.949893
843.571471,208,253.583244
985.589,234,254.947464
883.668222,209,255.975867
981.4196,237,257.217123
837.3597,203,258.29664
906.7415,226,259.505314
999.457,228,260.841105
945.905,242,261.998005
918.81,211,263.089262
825.67,200,264.077676
928.556,225,265.143085
864.975,205,266.154289
940.2046,222,267.207993
960.332,226,268.256334
999.937,234,269.326174
909.642,223,270.34513
1029.221,239,271.42733
954.4975,235,272.518967
877.96168,219,273.562268
988.07036,220,274.678608
881.2839,213,275.826252
919.893,209,278.386196
972.72035,228,280.809762
905.678,219,282.0992
829.83,200,283.077309
1004.8213,231,284.246385
873.74,209,285.280439
1026.8482,240,286.441578
863.797,210,287.650215
895.017872,218,288.949837
919.356,218,290.123325
987.1792,234,291.474989
778.9,200,292.842474
943.42,216,294.163143
835.7936,208,295.322238
828.504,200,296.558707
944.691,224,297.840035
955.522,216,299.007883
894.7668,216,300.13828
873.75,205,301.267486
927.88416,211,302.459615
934.0504,213,303.626053
972.689,232,304.766293
965.86676,232,306.083133
889.27695,216,308.078504
941.8762,220,309.29007
768.32,186,310.26336
916.754288,219,311.374463
918.8875,220,312.471386
824.2,200,313.555921
1041.66102,234,314.707865
880.06,206,315.678903
842.167,208,316.695961
960.582153,225,317.745548
955.604,220,318.77596
933.705,219,319.817253
921.89875,212,320.738543
972.0296,221,321.776322
994.33,222,322.753155
868.754,210,323.728302
807.854,200,324.64524
887.77,211,325.592803
810.56,198,326.507942
1084.7544,233,327.553878
848.356,200,328.530002
904.81,216,329.85762
943.936,218,331.202214
813.272,200,332.334245
892.03,220,333.559034
858.52,205,334.724419
949.582,221,336.361036
881.528,203,337.932179
977.474,221,339.057686
920.985,205,340.072742
829.44,200,341.040029
889.9092,216,342.079513
